PkLoad,T48PkLoad,T48PkPoint,MeanDry,MeanDew,WeekDay,Month
16116,14322,19,59.6,50.2,2,9
16461,14833,19,56.3,48.9,3,10
16973,16116,19,56.5,48.1,4,10
16351,16461,19,61.5,50.8,5,10
15635,16973,19,66.9,55.3,6,10
14705,16351,19,64,48.2,7,10
15090,15635,19,59.7,52.3,1,10
17207,14705,19,61.9,55.5,2,10
15876,15090,18,57.1,54.4,3,10
15794,17207,18,64,60.6,4,10
15961,15876,19,57,42.1,5,10
15256,15794,19,51.8,41,6,10
14368,15961,19,51.6,45.8,7,10
14255,15256,18,57.5,48.2,1,10
15759,14368,18,55.4,49.5,2,10
16058,14255,18,53.6,45.9,3,10
16184,15759,18,51.7,43.2,4,10
16193,16058,18,57.7,48.8,5,10
15205,16184,18,55,49.9,6,10
14340,16193,18,61.2,55,7,10
14694,15205,18,60.3,48.2,1,10
16112,14340,18,54.4,40.6,2,10
16218,14694,18,53.9,37.9,3,10
16435,16112,18,52.6,37.4,4,10
16298,16218,18,53.7,43.9,5,10
15892,16435,18,45.4,32.3,6,10
14945,16298,18,44.9,27.8,7,10
15302,15892,18,41.5,27.1,1,10
16660,14945,18,43.3,28.2,2,10
16823,15302,18,47.4,30.9,3,10
16735,16660,18,44.7,29.4,4,10
16125,16823,18,39,22.9,5,10
15707,16735,18,41.7,32.8,6,11
14608,16125,17,48.2,45.3,7,11
15947,15707,18,62.5,55.8,1,11
17555,14608,18,54,42.1,2,11
17076,15947,18,41,26.4,3,11
16736,17555,17,33.5,15.8,4,11
16720,17076,17,38.7,26.4,5,11
16936,16736,17,49.8,40.4,6,11
15841,16720,17,52.8,47,7,11
15799,16936,17,39.5,25.3,1,11
17187,15841,17,38.5,22.8,2,11
18363,15799,17,44.7,34,3,11
18300,17187,17,44.3,26,4,11
17293,18363,17,35,21.6,5,11
16586,18300,17,28.9,11.8,6,11
15395,17293,17,38.9,18,7,11
16123,16586,17,43.8,20.8,1,11
16665,15395,17,45.9,29.8,2,11
17737,16123,17,46,42.9,3,11
18004,16665,17,57.2,44.2,4,11
17589,17737,17,39.3,20.1,5,11
16975,18004,17,32.2,11.8,6,11
16394,17589,17,35.3,18.4,7,11
18576,16975,17,43.5,39.7,1,11
19058,16394,17,39.3,23.9,2,11
18143,18576,17,22.8,2.3,3,11
17316,19058,17,24.5,2.9,4,11
15893,18143,17,34.4,20.9,5,11
17345,17316,17,45.6,43.5,6,11
17273,15893,11,29.2,13.5,7,11
17173,17345,17,25.8,10,1,12
18331,17273,17,24.3,11,2,12
17986,17173,17,35.4,29.8,3,12
18183,18331,17,36.8,34,4,12
18011,17986,17,37.6,32.1,5,12
17511,18183,17,35.5,26.8,6,12
17364,18011,17,41.3,38,7,12
18528,17511,17,45.4,41.1,1,12
19321,17364,17,33,24.1,2,12
19600,18528,17,27.2,14.1,3,12
19697,19321,17,31.3,28.1,4,12
20077,19600,17,30.5,25.9,5,12
19540,19697,17,24.4,15.3,6,12
20052,20077,17,19.5,5.5,7,12
19228,19540,17,21,7.9,1,12
20208,20052,17,13.9,4.3,2,12
21453,19228,17,24.7,20.3,3,12
19726,20208,18,21.8,8.7,4,12
18957,21453,17,11.7,5.6,5,12
17939,19726,17,24.3,16.2,6,12
16585,18957,17,32.3,21,7,12
16767,17939,17,37.9,28.7,1,12
18077,16585,17,44.3,38.3,2,12
