"","x"
"1041",-34.1927693333328
"1049",-163.928311333333
"1050",-68.3159679999999
"1052",7.83056766666687
"1053",17.0948896666662
"1069",7.68648733333339
"1072",-8.62057699999968
"1073",11.5424463333331
"1074",3.37366166666652
"1089",-15.1800996666664
"1091",-14.7631236666668
"1097",4.50432833333343
"1101",27.3793679999999
"1105",7.16505733333338
"1108",6.30448066666668
"1109",0.78690266666672
"1112",-24.8892843333335
"1118",-15.3860396666664
"1127",-47.8408480000001
"1132",-10.3304906666665
"1141",-0.484350333333396
"1144",-0.20680733333279
"1151",-15.7612350000002
"1154",-3.03772033333325
"1158",-55.8421193333334
"1170",-8.46176266666657
"1174",62.3599189999995
"1184",81.7311166666666
"1197",44.5420449999997
"1199",75.3199586666663
"1201",1.61899033333339
"1202",8.03239166666663
"1206",54.9398409999997
"1212",53.6230250000001
"1216",58.2843890000001
"1218",97.4451613333326
"1220",74.4191669999998
"1224",64.5482946666664
"1225",70.3993866666667
"1229",89.1451010000003
"1239",-19.2309043333332
"1245",60.3704863333332
"1251",15.9265296666665
"1256",73.3171736666668
"1259",91.2678176666666
"1268",49.9513246666666
"1270",89.6435203333331
"1275",16.3155906666666
"1282",-1.15008466666654
"1291",-38.574247
"1294",15.492589
"1299",10.5799053333335
"1304",3.44572500000004
"1313",0.882808000000068
"1321",-29.1588133333335
"1323",-28.8690753333335
"1325",-56.6700566666666
"1339",-90.2244716666673
"1346",-5.52967233333334
"1358",-23.3856606666668
"1363",-32.5693853333337
"1376",-62.1759510000002
"1378",-16.9801286666668
"1383",16.1744030000002
"1385",-11.7878926666669
"1388",1.72773266666695
"1391",-24.0273860000002
"1396",0.695195666666905
"1408",-12.0408803333332
"1410",-34.7243606666668
"1412",-63.0937719999999
"1421",-68.9278976666665
"1424",-23.9362793333337
"1428",-57.4115070000003
"1429",-41.106827666667
"1431",22.7892146666666
"1434",1.7439856666665
"1438",48.9334719999999
"1459",-22.9539686666662
"1461",-32.6332556666666
"1463",-32.8172520000001
"1466",-24.0637886666666
"1467",-29.2926723333333
"1478",6.65495166666665
"1479",5.66481199999953
"1480",-9.55299966666644
"1483",-36.2437456666664
"1484",-25.0676140000003
"1485",-30.1904910000001
"1490",-36.5148073333337
