OBSPWR,4HR_FCSTPWR,OBS_DIFF,4HR_DIFF,4HR_ERROR,DIFF_ERROR
335.7,331,85.5,23.8,-4.7,-61.7
484.9,376.3,149.2,45.3,-108.6,-103.9
607.2,448.8,122.3,72.5,-158.4,-49.8
892.6,525.9,285.4,77.1,-366.7,-208.3
822.2,565.4,-70.4,39.5,-256.8,109.9
875.1,640.5,52.9,75.1,-234.6,22.2
974.1,721.5,99,81,-252.6,-18
945.5,746.6,-28.6,25.1,-198.9,53.7
1047.5,839.1,102,92.5,-208.4,-9.5
1189.4,909,141.9,69.9,-280.4,-72
1321.1,992.3,131.7,83.3,-328.8,-48.4
1535.4,1072,214.3,79.7,-463.4,-134.6
1629.9,1129.6,94.5,57.6,-500.3,-36.9
1643.4,1198,13.5,68.4,-445.4,54.9
1650.6,1269.2,7.2,71.2,-381.4,64
1632.2,1304.8,-18.4,35.6,-327.4,54
1552.7,1310.6,-79.5,5.8,-242.1,85.3
1502.1,1312.2,-50.6,1.6,-189.9,52.2
1456.6,1311.5,-45.5,-0.7,-145.1,44.8
1347,1281.4,-109.6,-30.1,-65.6,79.5
1275.5,1226.5,-71.5,-54.9,-49,16.6
1048.2,1179.9,-227.3,-46.6,131.7,180.7
822.6,1043.5,-225.6,-136.4,220.9,89.2
692.6,988.8,-130,-54.7,296.2,75.3
608.3,890.2,-84.3,-98.6,281.9,-14.3
473.1,813.2,-135.2,-77,340.1,58.2
494.4,743.2,21.3,-70,248.8,-91.3
483.6,687.6,-10.8,-55.6,204,-44.8
425.7,631.4,-57.9,-56.2,205.7,1.7
302,564.6,-123.7,-66.8,262.6,56.9
274.9,551.1,-27.1,-13.5,276.2,13.6
330.5,550,55.6,-1.1,219.5,-56.7
310.8,532.4,-19.7,-17.6,221.6,2.1
194.8,442.3,-116,-90.1,247.5,25.9
143.3,380.9,-51.5,-61.4,237.6,-9.9
125.6,369.3,-17.7,-11.6,243.7,6.1
153.4,366,27.8,-3.3,212.6,-31.1
385.6,409.3,232.2,43.3,23.7,-188.9
609.3,482.2,223.7,72.9,-127.1,-150.8
742.1,542.1,132.8,59.9,-200,-72.9
672.6,553.8,-69.5,11.7,-118.8,81.2
689.7,578.2,17.1,24.4,-111.5,7.3
694.2,601,4.5,22.8,-93.2,18.3
685.3,647.3,-8.9,46.3,-38,55.2
640.2,608.8,-45.1,-38.5,-31.4,6.6
717.2,633.2,77,24.4,-84,-52.6
651.1,631.1,-66.1,-2.1,-20,64
535.4,576.4,-115.7,-54.7,41,61
513.8,598.6,-21.6,22.2,84.8,43.8
594.9,604.4,81.1,5.8,9.5,-75.3
663,630,68.1,25.6,-33,-42.5
760.2,670.4,97.2,40.4,-89.8,-56.8
413.7,580,-346.5,-90.4,166.3,256.1
441.9,573.5,28.2,-6.5,131.6,-34.7
741.3,643.6,299.4,70.1,-97.7,-229.3
909.7,711.2,168.4,67.6,-198.5,-100.8
1085.3,803.8,175.6,92.6,-281.5,-83
1017.9,795.5,-67.4,-8.3,-222.4,59.1
1054.9,826.1,37,30.6,-228.8,-6.4
1202.1,890.6,147.2,64.5,-311.5,-82.7
1368.4,955,166.3,64.4,-413.4,-101.9
1472.8,1051.3,104.4,96.3,-421.5,-8.1
1561.8,1155.1,89,103.8,-406.7,14.8
1644.1,1225.2,82.3,70.1,-418.9,-12.2
1644.9,1253.1,0.8,27.9,-391.8,27.1
1652.2,1311.7,7.3,58.6,-340.5,51.3
1654.2,1343.3,2,31.6,-310.9,29.6
1649.7,1375.9,-4.5,32.6,-273.8,37.1
1655.6,1408.7,5.9,32.8,-246.9,26.9
1653.7,1403.1,-1.9,-5.6,-250.6,-3.7
1654.2,1411.6,0.5,8.5,-242.6,8
1649.2,1429.7,-5,18.1,-219.5,23.1
1595.3,1436,-53.9,6.3,-159.3,60.2
1593.7,1436.7,-1.6,0.7,-157,2.3
1602.3,1416.3,8.6,-20.4,-186,-29
1498.9,1362.5,-103.4,-53.8,-136.4,49.6
1482.9,1361.9,-16,-0.6,-121,15.4
1567.1,1382.5,84.2,20.6,-184.6,-63.6
1523.8,1371.2,-43.3,-11.3,-152.6,32
1335.1,1338.8,-188.7,-32.4,3.7,156.3
1135.4,1239.1,-199.7,-99.7,103.7,100
997.8,1158.1,-137.6,-81,160.3,56.6
1033.6,1132.2,35.8,-25.9,98.6,-61.7
1205.9,1165.3,172.3,33.1,-40.6,-139.2
1241.5,1180.4,35.6,15.1,-61.1,-20.5
1329.2,1186,87.7,5.6,-143.2,-82.1
1372.7,1196.6,43.5,10.6,-176.1,-32.9
1374.2,1195,1.5,-1.6,-179.2,-3.1
1441.5,1212.4,67.3,17.4,-229.1,-49.9
1627.6,1275.2,186.1,62.8,-352.4,-123.3
1642.4,1313.7,14.8,38.5,-328.7,23.7
1649.6,1364.4,7.2,50.7,-285.2,43.5
1653.1,1398.9,3.5,34.5,-254.2,31
1653.7,1435,0.6,36.1,-218.7,35.5
1653,1454.7,-0.7,19.7,-198.3,20.4
1654.4,1464.9,1.4,10.2,-189.5,8.8
1650,1463,-4.4,-1.9,-187,2.5
1649.8,1449.5,-0.2,-13.5,-200.3,-13.3
1647.5,1471.3,-2.3,21.8,-176.2,24.1
1651.8,1475.1,4.3,3.8,-176.7,-0.5
1652.1,1479.1,0.3,4,-173,3.7
1652,1463.5,-0.1,-15.6,-188.5,-15.5
1658.3,1469.3,6.3,5.8,-189,-0.5
1653.5,1478.8,-4.8,9.5,-174.7,14.3
1649.7,1469.3,-3.8,-9.5,-180.4,-5.7
1651.7,1478.5,2,9.2,-173.2,7.2
1650.9,1454.4,-0.8,-24.1,-196.5,-23.3
1655.5,1477.4,4.6,23,-178.1,18.4
1657.7,1483.7,2.2,6.3,-174,4.1
1655.4,1468.1,-2.3,-15.6,-187.3,-13.3
1655.3,1462.6,-0.1,-5.5,-192.7,-5.4
1652.2,1474.4,-3.1,11.8,-177.8,14.9
1653.6,1454.8,1.4,-19.6,-198.8,-21
1631.3,1477.3,-22.3,22.5,-154,44.8
1644.4,1458.1,13.1,-19.2,-186.3,-32.3
1626.7,1464.4,-17.7,6.3,-162.3,24
1578.8,1456.7,-47.9,-7.7,-122.1,40.2
1542.2,1426.8,-36.6,-29.9,-115.4,6.7
1404.4,1369.7,-137.8,-57.1,-34.7,80.7
1210.6,1322.2,-193.8,-47.5,111.6,146.3
983,1174,-227.6,-148.2,191,79.4
819.5,1111,-163.5,-63,291.5,100.5
677.7,1012.5,-141.8,-98.5,334.8,43.3
566.6,883.2,-111.1,-129.3,316.6,-18.2
522.4,810,-44.2,-73.2,287.6,-29
527.7,754.3,5.3,-55.7,226.6,-61
515.2,705.7,-12.5,-48.6,190.5,-36.1
439.7,644.3,-75.5,-61.4,204.6,14.1
295.7,550.4,-144,-93.9,254.7,50.1
205.8,508.5,-89.9,-41.9,302.7,48
154.7,436.6,-51.1,-71.9,281.9,-20.8
122.9,399.6,-31.8,-37,276.7,-5.2
144.6,373.5,21.7,-26.1,228.9,-47.8
150.2,361.2,5.6,-12.3,211,-17.9
136.2,354.3,-14,-6.9,218.1,7.1
132.2,330.6,-4,-23.7,198.4,-19.7
154.9,340.1,22.7,9.5,185.2,-13.2
141.2,334.9,-13.7,-5.2,193.7,8.5
107.5,299.9,-33.7,-35,192.4,-1.3
67.9,265.6,-39.6,-34.3,197.7,5.3
88.8,271.9,20.9,6.3,183.1,-14.6
128.6,261.1,39.8,-10.8,132.5,-50.6
123.5,262.8,-5.1,1.7,139.3,6.8
102.7,232.7,-20.8,-30.1,130,-9.3
141.5,244.5,38.8,11.8,103,-27
165.7,242.1,24.2,-2.4,76.4,-26.6
202.4,256.3,36.7,14.2,53.9,-22.5
